time, Quad.MagYaw, Quad.Est.Yaw, Quad.Yaw
2.559997,0.008170,0.029710,-0.001352
2.564996,nan,0.031637,-0.001373
2.569996,0.018235,0.028854,-0.001392
2.574996,nan,0.027102,-0.001409
2.579995,-0.142086,-0.002858,-0.001422
2.584995,nan,-0.003382,-0.001436
2.589995,-0.045094,-0.011503,-0.001451
2.594994,nan,-0.013997,-0.001466
2.599994,0.130875,0.013055,-0.001480
2.604994,nan,0.014128,-0.001498
2.609993,-0.067695,0.002001,-0.001523
2.614993,nan,0.001741,-0.001553
2.619992,0.104218,0.020643,-0.001587
2.624992,nan,0.018523,-0.001627
2.629992,0.132643,0.039628,-0.001676
2.634991,nan,0.035912,-0.001732
2.639991,0.215870,0.068255,-0.001793
2.644991,nan,0.069906,-0.001856
2.649990,-0.017828,0.052186,-0.001919
2.654990,nan,0.053611,-0.001980
2.659990,0.108705,0.064120,-0.002040
2.664989,nan,0.062750,-0.002098
2.669989,0.116627,0.070462,-0.002156
2.674989,nan,0.069334,-0.002215
2.679988,-0.116523,0.035533,-0.002270
2.684988,nan,0.033860,-0.002317
2.689987,0.042913,0.033365,-0.002357
2.694987,nan,0.032574,-0.002393
2.699987,0.020381,0.031572,-0.002425
2.704986,nan,0.029598,-0.002454
2.709986,-0.094079,0.008040,-0.002482
2.714986,nan,0.007987,-0.002508
2.719985,0.097185,0.024634,-0.002534
2.724985,nan,0.026993,-0.002560
2.729985,-0.116734,0.002567,-0.002583
2.734984,nan,0.004126,-0.002604
2.739984,0.049816,0.012858,-0.002624
2.744983,nan,0.011366,-0.002646
2.749983,0.058312,0.020702,-0.002674
2.754983,nan,0.019451,-0.002706
2.759982,-0.081145,-0.000517,-0.002742
2.764982,nan,0.000144,-0.002781
2.769982,0.036624,0.007207,-0.002820
2.774981,nan,0.004907,-0.002855
2.779981,-0.097819,-0.012532,-0.002881
2.784981,nan,-0.012979,-0.002901
2.789980,-0.127625,-0.034927,-0.002912
2.794980,nan,-0.037083,-0.002915
2.799979,-0.181059,-0.061527,-0.002908
2.804979,nan,-0.064514,-0.002890
2.809979,0.200481,-0.017913,-0.002860
2.814978,nan,-0.014919,-0.002822
2.819978,0.013832,-0.008718,-0.002781
2.824978,nan,-0.009845,-0.002735
2.829977,-0.086930,-0.022955,-0.002680
2.834977,nan,-0.021385,-0.002617
2.839977,-0.172128,-0.048812,-0.002553
2.844976,nan,-0.047613,-0.002491
2.849976,0.105562,-0.017715,-0.002432
2.854975,nan,-0.020833,-0.002379
2.859975,0.072884,-0.007250,-0.002335
2.864975,nan,-0.007034,-0.002296
2.869974,0.148076,0.019882,-0.002263
2.874974,nan,0.019975,-0.002238
2.879974,0.077010,0.029343,-0.002221
2.884973,nan,0.030630,-0.002209
2.889973,0.050881,0.032719,-0.002201
2.894973,nan,0.033452,-0.002197
2.899972,-0.153740,0.001011,-0.002196
2.904972,nan,-0.000137,-0.002200
2.909971,-0.245031,-0.043835,-0.002208
2.914971,nan,-0.045653,-0.002217
2.919971,-0.049268,-0.046077,-0.002227
2.924970,nan,-0.047505,-0.002241
2.929970,0.013890,-0.037468,-0.002259
2.934970,nan,-0.036858,-0.002279
2.939969,-0.004308,-0.031243,-0.002302
2.944969,nan,-0.029043,-0.002327
2.949969,-0.042587,-0.032839,-0.002350
2.954968,nan,-0.034318,-0.002369
2.959968,0.037221,-0.021482,-0.002384
2.964967,nan,-0.022077,-0.002393
2.969967,0.056958,-0.007440,-0.002395
2.974967,nan,-0.003231,-0.002385
2.979966,0.110575,0.018451,-0.002361
2.984966,nan,0.019348,-0.002328
2.989966,0.099013,0.033963,-0.002287
2.994965,nan,0.032448,-0.002241
2.999965,0.266513,0.077269,-0.002195
3.004965,nan,0.077363,-0.002150
3.009964,0.022645,0.067827,-0.002106
3.014964,nan,0.064513,-0.002062
3.019964,0.016799,0.055573,-0.002018
3.024963,nan,0.055238,-0.001973
3.029963,0.032418,0.051778,-0.001923
3.034962,nan,0.050707,-0.001864
3.039962,-0.024114,0.037828,-0.001794
3.044962,nan,0.034686,-0.001713
3.049961,0.116998,0.050484,-0.001613
3.054961,nan,0.047685,-0.001489
3.059961,0.025505,0.042651,-0.001335
3.064960,nan,0.042727,-0.001142
3.069960,0.091038,0.053377,-0.000904
3.074960,nan,0.051667,-0.000616
3.079959,-0.056012,0.031638,-0.000273
3.084959,nan,0.033559,0.000131
3.089958,-0.087077,0.012906,0.000601
3.094958,nan,0.013468,0.001144
3.099958,0.018140,0.015081,0.001768
3.104957,nan,0.016090,0.002478
3.109957,0.222712,0.053860,0.003280
3.114957,nan,0.050324,0.004184
3.119956,0.070175,0.053721,0.005197
3.124956,nan,0.056106,0.006323
3.129956,0.216382,0.086484,0.007559
3.134955,nan,0.086995,0.008908
3.139955,0.148196,0.102657,0.010374
3.144954,nan,0.100391,0.011960
3.149954,0.095254,0.100091,0.013668
3.154954,nan,0.100437,0.015504
3.159953,0.058652,0.091500,0.017467
3.164953,nan,0.089233,0.019559
3.169953,-0.190016,0.041081,0.021778
3.174952,nan,0.044232,0.024125
3.179952,0.160124,0.064844,0.026604
3.184952,nan,0.071807,0.029226
3.189951,-0.168910,0.030149,0.031995
3.194951,nan,0.032830,0.034913
3.199950,0.026701,0.032704,0.037973
3.204950,nan,0.040800,0.041164
3.209950,0.119863,0.058392,0.044474
3.214949,nan,0.065147,0.047886
3.219949,0.124143,0.076318,0.051381
3.224949,nan,0.081242,0.054940
3.229948,0.055482,0.080405,0.058552
3.234948,nan,0.086299,0.062208
3.239948,0.067469,0.086665,0.065895
3.244947,nan,0.091584,0.069607
3.249947,0.046882,0.086309,0.073347
3.254946,nan,0.090141,0.077127
3.259946,0.142399,0.099449,0.080947
3.264946,nan,0.106411,0.084810
3.269945,0.014397,0.092839,0.088717
3.274945,nan,0.097556,0.092664
3.279945,0.076619,0.097018,0.096646
3.284944,nan,0.101185,0.100668
3.289944,0.186700,0.120562,0.104731
3.294944,nan,0.124405,0.108840
3.299943,0.197707,0.138694,0.112997
3.304943,nan,0.144285,0.117204
3.309942,0.251269,0.166588,0.121466
3.314942,nan,0.173436,0.125786
3.319942,-0.138032,0.118550,0.130158
3.324941,nan,0.128516,0.134576
3.329941,0.433834,0.184312,0.139043
