MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3968460,37.7941028,3.0650000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0700000
MsgID.LOCAL_POSITION,85.0730000,180.2921906,53.9963150,-3.0658054
MsgID.LOCAL_VELOCITY,85.0730000,-0.0041879,-0.0098621,0.0957103
MsgID.GLOBAL_POSITION,0.0000000,-122.3968457,37.7941047,3.0680000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,85.3230000,180.4829559,53.9832344,-3.0723014
MsgID.LOCAL_VELOCITY,85.3230000,0.0046120,0.0029253,0.0011999
MsgID.GLOBAL_POSITION,0.0000000,-122.3968480,37.7941050,3.1060000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,85.5730000,180.5047913,53.7952003,-3.1101651
MsgID.LOCAL_VELOCITY,85.5730000,0.0000037,-0.0000125,0.0000526
MsgID.GLOBAL_POSITION,0.0000000,-122.3968479,37.7941044,3.1480000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,85.8230000,180.4257660,53.8032532,-3.1521945
MsgID.LOCAL_VELOCITY,85.8230000,-0.0000075,-0.0000228,-0.0001275
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3968490,37.7941027,3.1890000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,86.0730000,180.2440948,53.7054291,-3.1934001
MsgID.LOCAL_VELOCITY,86.0730000,0.0000099,-0.0000423,0.0000840
MsgID.GLOBAL_POSITION,0.0000000,-122.3968481,37.7941024,3.2250000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,86.3230000,180.2154541,53.8154945,-3.2282012
MsgID.LOCAL_VELOCITY,86.3230000,0.0000223,-0.0000433,-0.0000576
MsgID.GLOBAL_POSITION,0.0000000,-122.3968455,37.7941029,3.2500000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,86.5730000,180.2862549,54.0200233,-3.2518463
MsgID.LOCAL_VELOCITY,86.5730000,-0.0000077,-0.0000528,0.0001435
MsgID.GLOBAL_POSITION,0.0000000,-122.3968475,37.7941032,3.2630000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,86.8240000,180.2989655,53.8233490,-3.2634399
MsgID.LOCAL_VELOCITY,86.8240000,0.0000029,-0.0000473,-0.0000107
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3968488,37.7941021,3.2610000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
